key-flower,product-name,cultivar,thc-level,cbd-level,radiation,wholesaler,genetic,origin,lowest-offer
imc oog thc25: outdoor og kush,imc oog thc25,outdoor og kush,25.0,0.1,irradiated,IMC,Hybrid,Spanien,0.0
canpharma flos sk 24/1: sour kush,canpharma flos sk 24/1,sour kush,24.0,0.1,non-irradiated,CanPharma,Hybrid,Kanada,0.0
enua 27/1 gmo ca: koko´s cookies,enua 27/1 gmo ca,koko´s cookies,28.0,1.0,no,enua Pharma GmbH,Hybrid Indica-dominant,,0.0
cannabis flos 22/1 pt ku.: master kush,cannabis flos 22/1 pt ku.,master kush,22.3,1.0,no,Canify,Indica,Portugal,0.0
420 compound 30/1 ca rpv: rose gold pavé,420 compound 30/1 ca rpv,rose gold pavé,30.56,0.2,no,420 Pharma,Hybrid Indica-dominant,,0.0
cm 24/1 za: zour apple,cm 24/1 za,zour apple,24.1,0.1,no,Cannamedical,Hybrid,Kanada,0.0
peace naturals 29/1 gc: gmo cookies,peace naturals 29/1 gc,gmo cookies,,,,,,Kanada,0.0
cannabis flos weeco 25/1: frosted lemon angel,cannabis flos weeco 25/1,frosted lemon angel,23.6,0.1,e-beam,Aurora,Hybrid Sativa-dominant,,0.0
demecan craft cali 29:01: hawaiian rain x permanent marker,demecan craft cali 29:01,hawaiian rain x permanent marker,30.6,0.3,no,Demecan,Hybrid Indica-dominant,Kanada,0.0
weeco 27/1 kl: cali sunset,weeco 27/1 kl,cali sunset,26.5,0.2,irradiated,Weeco Pharma,Hybrid,bestrahlt,0.0
tilray thc 22 spotlight porto: gorilla glue 4,tilray thc 22 spotlight porto,gorilla glue 4,22.0,1.0,irradiated,Tilray,Hybrid,Porugal,0.0
madrecan 18/1 rch: remo chemo,madrecan 18/1 rch,remo chemo,18.0,0.1,irradiated,remexian pharma,Hybrid,Portugal,0.0
social choice 12/1 gro ccr: cookies & cream,social choice 12/1 gro ccr,cookies & cream,12.0,0.1,non-irradiated,remexian pharma,Hybrid,Portugal,0.0
cannamedical sativa forte ma: lemon slushie,cannamedical sativa forte ma,lemon slushie,24.0,0.1,non-irradiated,Cannamedical,Sativa,Kanada,0.0
beacon gc t30: garlic cookies,beacon gc t30,garlic cookies,30.0,0.1,non-irradiated,cansativa,Hybrid,Kanada,0.0
cannabistada 14/1: white widow,cannabistada 14/1,white widow,14.0,0.1,irradiated,Stada,Hybrid,Kanada,0.0
typ 2 aphria: great bear,typ 2 aphria,great bear,16.0,0.1,irradiated,BfArM,Sativa,Deutschland,0.0
cannamedical hybrid classic lc: lost cause,cannamedical hybrid classic lc,lost cause,20.0,1.0,irradiated,Cannamedical,Hybrid,Kanada,0.0
demecan core moonbow-112 23:01 moonbow ix,demecan core moonbow-112 23,01 moonbow ix,,,,,,,0.0
avaay simple 23/1 chm: chem og,avaay simple 23/1 chm,chem og,23.7,1.0,no,avaay,Hybrid,Portugal,0.0
420 evolution 27/1 ca wes: wedding singer,420 evolution 27/1 ca wes,wedding singer,25.63,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
cm 20/1 gg4: gorilla glue #4,cm 20/1 gg4,gorilla glue #4,20.5,0.1,no,Cannamedical,Hybrid Indica-dominant,,0.0
gm south african mungo 27:01: mungo,gm south african mungo 27:01,mungo,27.0,0.1,non-irradiated,German Medical,Hybrid,Südafrika,0.0
demecan craft gnc 24:01: grapes and cream,demecan craft gnc 24:01,grapes and cream,24.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
avaay 26/1 bcp: black cherry punch,avaay 26/1 bcp,black cherry punch,24.4,0.1,no,avaay,Hybrid Sativa-dominant,Südafrika,0.0
demecan craft marker 28:01: magic marker #2,demecan craft marker 28:01,magic marker #2,29.2,0.3,no,Demecan,Hybrid Indica-dominant,Kanada,0.0
cannamedical indica forte dk: gelat skyfloater,cannamedical indica forte dk,gelat skyfloater,22.0,0.1,irradiated,Cannamedical,Indica,Dänemark,6.99
madrecan 21/1 rch: remo chemo,madrecan 21/1 rch,remo chemo,21.0,0.1,irradiated,remexian pharma,Indica,Portugal,0.0
alephsana fire 32/1: amnesia skittlez,alephsana fire 32/1,amnesia skittlez,32.0,0.1,non-irradiated,alephSana,Hybrid,Portugal,0.0
enua 22/1 cro ca: crescendo cookies,enua 22/1 cro ca,crescendo cookies,22.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
demecan craft cali 26:01: hawaiian rain x permanent marker,demecan craft cali 26:01,hawaiian rain x permanent marker,26.0,1.0,non-irradiated,Demecan,Hybrid,Kanada,0.0
enua 25/1 sj ca: splitter jelato,enua 25/1 sj ca,splitter jelato,25.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
cannamedical hybrid classic ng: orange kush cake,cannamedical hybrid classic ng,orange kush cake,21.0,0.1,no,Cannamedical,Hybrid,Kanada,0.0
pedanios 10/13 mbe-ca: moon berry,pedanios 10/13 mbe-ca,moon berry,9.7,12.8,e-beam,Aurora,Hybrid,Kanada,0.0
cannabis flos 23/1 cnd: pink kush,cannabis flos 23/1 cnd,pink kush,21.2,0.05,e-beam,Canify,Hybrid,,0.0
remexian 30/1 che: chem cookies,remexian 30/1 che,chem cookies,30.2,0.2,no,Remexian,Hybrid Indica-dominant,,9.95
420 evolution 27/1 ca flm: frozen lemon mints,420 evolution 27/1 ca flm,frozen lemon mints,25.3,1.0,no,420 Pharma,Hybrid Sativa-dominant,Kanada,9.89
oceanic bc: black cookies,oceanic bc,black cookies,24.3,0.1,non-irradiated,Cantourage,Indica,Kanada,0.0
all nations sh-001: stolo haze,all nations sh-001,stolo haze,22.0,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
tilray thc25 spotlight porto: mango,tilray thc25 spotlight porto,mango,25.0,0.1,irradiated,Tilray,Indica,Portugal,0.0
tilray craft thc22: bienville (jean guy),tilray craft thc22,bienville (jean guy),22.0,0.1,non-irradiated,Tilray,Hybrid,Deutschland,0.0
cannamedical sativa forte: tangie chem,cannamedical sativa forte,tangie chem,24.2,0.1,gamma,Cannamedical,Sativa,Australien,15.47
cannamedical indica forte ma: carmelita,cannamedical indica forte ma,carmelita,25.8,0.1,gamma,Cannamedical,Indica,Kanada,9.99
demecan core skyglow 25:01: grapes and cream,demecan core skyglow 25:01,grapes and cream,24.5,0.3,no,Demecan,Hybrid,Kanada,0.0
cm 20/1 crm: creamy kee‘s,cm 20/1 crm,creamy kee‘s,21.3,0.1,no,Cannamedical,Hybrid,Südafrika,0.0
grow 30: gelato sherbert,grow 30,gelato sherbert,27.1,0.1,no,GROW Group,Hybrid,,0.0
botanics purple cream 22/1: purple ice water,botanics purple cream 22/1,purple ice water,23.9,1.0,no,Nimbus,Hybrid,Tschechien,0.0
avaay 21/1 pyc: peyote critical,avaay 21/1 pyc,peyote critical,18.9,0.1,no,avaay,Hybrid Indica-dominant,,0.0
cannabis 1a 18/1 flos: white widow,cannabis 1a 18/1 flos,white widow,19.2,0.1,e-beam,Vayamed,Hybrid,Dänemark,0.0
remexian 27/1 hcc pbb: peanut butter breath,remexian 27/1 hcc pbb,peanut butter breath,24.6,0.2,no,Remexian,Hybrid,,0.0
cannamedical sativa forte: duke,cannamedical sativa forte,duke,24.2,0.1,gamma,Cannamedical,Sativa,Australien,0.0
pedanios 18/1 tng-ca: tangerine dream,pedanios 18/1 tng-ca,tangerine dream,16.5,0.1,e-beam,Aurora,Sativa,Kanada,0.0
tilray indica thc strong: mango,tilray indica thc strong,mango,22.0,0.1,irradiated,Tilray,Indica,Portugal,0.0
pedanios 14/1 tng-ca: tangerine dream,pedanios 14/1 tng-ca,tangerine dream,14.0,0.1,irradiated,Aurora,Sativa,Kanada,0.0
imc rwt thc27 token white rhino: white rhino,imc rwt thc27 token white rhino,white rhino,27.0,0.1,non-irradiated,IMC,Hybrid,Kanada,0.0
wellford aquaponic 26/1 boc: bozy´s cure,wellford aquaponic 26/1 boc,bozy´s cure,26.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
relecan hybrid strong: gorilla glue,relecan hybrid strong,gorilla glue,22.0,0.1,non-irradiated,Cantourage,Hybrid,Portugal,0.0
barongo 24/1: banjo,barongo 24/1,banjo,23.8,0.2,no,Cansativa,Hybrid Sativa-dominant,,0.0
lot 420 oc: orange cake,lot 420 oc,orange cake,25.0,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
medican heri: herijuana,medican heri,herijuana,13.0,0.1,irradiated,Medican,Indica,Dänemark,0.0
nimbus easy 30/1: la sage,nimbus easy 30/1,la sage,28.4,0.1,no,Nimbus,Hybrid Sativa-dominant,,0.0
enua 30/1 lhz ca: lemonade haze,enua 30/1 lhz ca,lemonade haze,30.0,1.0,no,enua Pharma GmbH,Hybrid Sativa-dominant,,0.0
remexian 30/1 hcc ggl: grape gasoline,remexian 30/1 hcc ggl,grape gasoline,29.6,0.2,no,Remexian,Hybrid,,0.0
demecan craft ozk x cc 24:01: oz kush x coffin candy,demecan craft ozk x cc 24:01,oz kush x coffin candy,23.9,0.3,no,Demecan,Indica,,0.0
tilray thc 18 spotlight porto: lilac diesel,tilray thc 18 spotlight porto,lilac diesel,18.7,0.2,e-beam,Tilray,Sativa,,0.0
pedanios 31/1 pnd-ca: pink diesel,pedanios 31/1 pnd-ca,pink diesel,29.9,0.1,e-beam,Aurora,Indica,Kanada,8.95
grünhorn bc 17/1 a&b: apples and bananas,grünhorn bc 17/1 a&b,apples and bananas,17.6,0.05,no,Grünhorn,Hybrid Indica-dominant,,0.0
remexian 30/1 crx gmo: gmo breath,remexian 30/1 crx gmo,gmo breath,30.9,1.0,,Remexian,Hybrid Indica-dominant,,0.0
demecan rf epic drop: gelato x og kush,demecan rf epic drop,gelato x og kush,29.3,1.0,,Demecan,Hybrid Indica-dominant,,0.0
cannamedical indica forte zaf: black cherry punch,cannamedical indica forte zaf,black cherry punch,24.0,0.1,non-irradiated,Cannamedical,Indica,Südafrika,0.0
cannamedical indica classic ury: cheddar skunk,cannamedical indica classic ury,cheddar skunk,20.0,0.1,non-irradiated,Cannamedical,Hybrid,Uruguay,0.0
bathera 28/1: facetz,bathera 28/1,facetz,28.5,0.06,no,Bathera,Indica,,7.49
remexian 27/1 gyj lpp: lemon pepper punch,remexian 27/1 gyj lpp,lemon pepper punch,28.2,0.2,no,Remexian,Hybrid Sativa-dominant,,0.0
medizinal-cannabisblüten typ 1 aurora: island sweet skunk,medizinal-cannabisblüten typ 1 aurora,island sweet skunk,,,,,,,0.0
remexian 27/1 hma cdc: chem de la chem,remexian 27/1 hma cdc,chem de la chem,,,,,,,0.0
cannamedical indica classic zaf: dank wafers,cannamedical indica classic zaf,dank wafers,20.0,0.1,non-irradiated,Cannamedical,Indica,Südafrika,5.79
nimbus easy 22/1: french cookies,nimbus easy 22/1,french cookies,22.0,0.1,non-irradiated,Nimbus Health,Hybrid,Nordmazedonien,0.0
alephsana green 24/1: doce de casa,alephsana green 24/1,doce de casa,24.0,1.0,non-irradiated,alephSana,Hybrid,Portugal,0.0
